BodyAcc;GravityAcc;BodyGyro;subject;Activity;time
b;a;b;1;STANDING;2010-01-01 10:00:00.000
b;a;b;1;STANDING;2010-01-01 10:00:02.560
b;a;b;1;STANDING;2010-01-01 10:00:05.120
b;a;b;1;STANDING;2010-01-01 10:00:07.680
b;a;b;1;STANDING;2010-01-01 10:00:10.240
b;a;b;1;STANDING;2010-01-01 10:00:12.800
b;a;b;1;STANDING;2010-01-01 10:00:15.360
b;a;b;1;STANDING;2010-01-01 10:00:17.920
b;a;b;1;STANDING;2010-01-01 10:00:20.480
b;a;b;1;STANDING;2010-01-01 10:00:23.040
b;a;b;1;STANDING;2010-01-01 10:00:25.600
b;a;b;1;STANDING;2010-01-01 10:00:28.160
b;a;b;1;STANDING;2010-01-01 10:00:30.720
b;a;b;1;STANDING;2010-01-01 10:00:33.280
b;a;b;1;STANDING;2010-01-01 10:00:35.840
b;a;b;1;STANDING;2010-01-01 10:00:38.400
b;a;b;1;STANDING;2010-01-01 10:00:40.960
b;a;b;1;STANDING;2010-01-01 10:00:43.520
b;a;b;1;STANDING;2010-01-01 10:00:46.080
b;a;b;1;STANDING;2010-01-01 10:00:48.640
b;a;b;1;STANDING;2010-01-01 10:00:51.200
b;a;b;1;STANDING;2010-01-01 10:00:53.760
b;a;b;1;STANDING;2010-01-01 10:00:56.320
b;a;b;1;STANDING;2010-01-01 10:00:58.880
b;a;b;1;STANDING;2010-01-01 10:01:01.440
b;a;b;1;STANDING;2010-01-01 10:01:04.000
b;a;b;1;STANDING;2010-01-01 10:01:06.560
b;b;b;1;SITTING;2010-01-01 10:01:09.120
b;a;b;1;SITTING;2010-01-01 10:01:11.680
b;a;b;1;SITTING;2010-01-01 10:01:14.240
b;a;c;1;SITTING;2010-01-01 10:01:16.800
b;b;c;1;SITTING;2010-01-01 10:01:19.360
b;b;b;1;SITTING;2010-01-01 10:01:21.920
b;a;b;1;SITTING;2010-01-01 10:01:24.480
b;a;b;1;SITTING;2010-01-01 10:01:27.040
b;a;b;1;SITTING;2010-01-01 10:01:29.600
b;a;b;1;SITTING;2010-01-01 10:01:32.160
b;a;b;1;SITTING;2010-01-01 10:01:34.720
b;a;b;1;SITTING;2010-01-01 10:01:37.280
b;a;b;1;SITTING;2010-01-01 10:01:39.840
b;a;b;1;SITTING;2010-01-01 10:01:42.400
b;a;b;1;SITTING;2010-01-01 10:01:44.960
b;a;b;1;SITTING;2010-01-01 10:01:47.520
b;a;b;1;SITTING;2010-01-01 10:01:50.080
b;a;b;1;SITTING;2010-01-01 10:01:52.640
b;a;b;1;SITTING;2010-01-01 10:01:55.200
b;a;b;1;SITTING;2010-01-01 10:01:57.760
b;a;b;1;SITTING;2010-01-01 10:02:00.320
b;a;b;1;SITTING;2010-01-01 10:02:02.880
b;a;b;1;SITTING;2010-01-01 10:02:05.440
b;a;b;1;SITTING;2010-01-01 10:02:08.000
b;c;b;1;LAYING;2010-01-01 10:02:10.560
b;c;b;1;LAYING;2010-01-01 10:02:13.120
b;c;b;1;LAYING;2010-01-01 10:02:15.680
b;c;b;1;LAYING;2010-01-01 10:02:18.240
b;c;b;1;LAYING;2010-01-01 10:02:20.800
b;c;b;1;LAYING;2010-01-01 10:02:23.360
b;c;b;1;LAYING;2010-01-01 10:02:25.920
b;c;b;1;LAYING;2010-01-01 10:02:28.480
b;c;b;1;LAYING;2010-01-01 10:02:31.040
b;c;b;1;LAYING;2010-01-01 10:02:33.600
b;c;b;1;LAYING;2010-01-01 10:02:36.160
b;c;b;1;LAYING;2010-01-01 10:02:38.720
b;c;b;1;LAYING;2010-01-01 10:02:41.280
b;c;b;1;LAYING;2010-01-01 10:02:43.840
b;c;b;1;LAYING;2010-01-01 10:02:46.400
a;c;c;1;LAYING;2010-01-01 10:02:48.960
a;c;c;1;LAYING;2010-01-01 10:02:51.520
b;c;b;1;LAYING;2010-01-01 10:02:54.080
b;c;c;1;LAYING;2010-01-01 10:02:56.640
a;c;c;1;LAYING;2010-01-01 10:02:59.200
a;c;c;1;LAYING;2010-01-01 10:03:01.760
b;c;b;1;LAYING;2010-01-01 10:03:04.320
b;c;b;1;LAYING;2010-01-01 10:03:06.880
b;c;b;1;LAYING;2010-01-01 10:03:09.440
b;c;b;1;LAYING;2010-01-01 10:03:12.000
b;c;b;1;LAYING;2010-01-01 10:03:14.560
b;c;b;1;LAYING;2010-01-01 10:03:17.120
a;b;a;1;WALKING;2010-01-01 10:03:19.680
c;b;a;1;WALKING;2010-01-01 10:03:22.240
a;b;a;1;WALKING;2010-01-01 10:03:24.800
c;b;a;1;WALKING;2010-01-01 10:03:27.360
c;b;a;1;WALKING;2010-01-01 10:03:29.920
a;b;a;1;WALKING;2010-01-01 10:03:32.480
a;b;a;1;WALKING;2010-01-01 10:03:35.040
c;b;a;1;WALKING;2010-01-01 10:03:37.600
a;b;c;1;WALKING;2010-01-01 10:03:40.160
a;b;a;1;WALKING;2010-01-01 10:03:42.720
a;b;c;1;WALKING;2010-01-01 10:03:45.280
c;b;a;1;WALKING;2010-01-01 10:03:47.840
c;b;a;1;WALKING;2010-01-01 10:03:50.400
c;b;a;1;WALKING;2010-01-01 10:03:52.960
c;b;a;1;WALKING;2010-01-01 10:03:55.520
c;b;a;1;WALKING;2010-01-01 10:03:58.080
c;b;a;1;WALKING;2010-01-01 10:04:00.640
c;b;a;1;WALKING;2010-01-01 10:04:03.200
c;b;a;1;WALKING;2010-01-01 10:04:05.760
a;b;a;1;WALKING;2010-01-01 10:04:08.320
c;b;a;1;WALKING;2010-01-01 10:04:10.880
c;b;a;1;WALKING;2010-01-01 10:04:13.440
c;b;a;1;WALKING;2010-01-01 10:04:16.000
c;b;a;1;WALKING;2010-01-01 10:04:18.560
c;b;a;1;WALKING;2010-01-01 10:04:21.120
c;b;a;1;WALKING;2010-01-01 10:04:23.680
c;b;a;1;WALKING;2010-01-01 10:04:26.240
a;b;a;1;WALKING;2010-01-01 10:04:28.800
c;b;a;1;WALKING;2010-01-01 10:04:31.360
c;b;a;1;WALKING;2010-01-01 10:04:33.920
c;b;a;1;WALKING;2010-01-01 10:04:36.480
c;b;a;1;WALKING;2010-01-01 10:04:39.040
c;b;a;1;WALKING;2010-01-01 10:04:41.600
c;b;a;1;WALKING;2010-01-01 10:04:44.160
c;b;a;1;WALKING;2010-01-01 10:04:46.720
a;b;a;1;WALKING;2010-01-01 10:04:49.280
a;b;a;1;WALKING;2010-01-01 10:04:51.840
c;b;a;1;WALKING;2010-01-01 10:04:54.400
c;b;a;1;WALKING;2010-01-01 10:04:56.960
c;b;a;1;WALKING;2010-01-01 10:04:59.520
a;b;a;1;WALKING;2010-01-01 10:05:02.080
a;b;c;1;WALKING;2010-01-01 10:05:04.640
a;b;c;1;WALKING;2010-01-01 10:05:07.200
a;b;a;1;WALKING;2010-01-01 10:05:09.760
a;b;a;1;WALKING;2010-01-01 10:05:12.320
a;b;a;1;WALKING;2010-01-01 10:05:14.880
a;b;a;1;WALKING;2010-01-01 10:05:17.440
a;b;c;1;WALKING_DOWNSTAIRS;2010-01-01 10:05:20.000
c;b;a;1;WALKING_DOWNSTAIRS;2010-01-01 10:05:22.560
c;b;a;1;WALKING_DOWNSTAIRS;2010-01-01 10:05:25.120
c;b;a;1;WALKING_DOWNSTAIRS;2010-01-01 10:05:27.680
c;b;c;1;WALKING_DOWNSTAIRS;2010-01-01 10:05:30.240
c;b;a;1;WALKING_DOWNSTAIRS;2010-01-01 10:05:32.800
c;b;a;1;WALKING_DOWNSTAIRS;2010-01-01 10:05:35.360
c;b;c;1;WALKING_DOWNSTAIRS;2010-01-01 10:05:37.920
c;b;c;1;WALKING_DOWNSTAIRS;2010-01-01 10:05:40.480
c;b;a;1;WALKING_DOWNSTAIRS;2010-01-01 10:05:43.040
c;b;a;1;WALKING_DOWNSTAIRS;2010-01-01 10:05:45.600
c;b;a;1;WALKING_DOWNSTAIRS;2010-01-01 10:05:48.160
c;b;a;1;WALKING_DOWNSTAIRS;2010-01-01 10:05:50.720
c;b;a;1;WALKING_DOWNSTAIRS;2010-01-01 10:05:53.280
c;b;a;1;WALKING_DOWNSTAIRS;2010-01-01 10:05:55.840
c;b;a;1;WALKING_DOWNSTAIRS;2010-01-01 10:05:58.400
c;b;a;1;WALKING_DOWNSTAIRS;2010-01-01 10:06:00.960
c;b;a;1;WALKING_DOWNSTAIRS;2010-01-01 10:06:03.520
c;b;a;1;WALKING_DOWNSTAIRS;2010-01-01 10:06:06.080
c;b;a;1;WALKING_DOWNSTAIRS;2010-01-01 10:06:08.640
c;b;a;1;WALKING_DOWNSTAIRS;2010-01-01 10:06:11.200
c;b;a;1;WALKING_DOWNSTAIRS;2010-01-01 10:06:13.760
a;b;a;1;WALKING_DOWNSTAIRS;2010-01-01 10:06:16.320
c;b;a;1;WALKING_DOWNSTAIRS;2010-01-01 10:06:18.880
c;b;c;1;WALKING_DOWNSTAIRS;2010-01-01 10:06:21.440
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:06:24.000
