sid;start_time;end_time;value
ASL_2006_01_2022;265;300;ANDcrvd-sprd-Bflat-ON
ASL_2006_01_2022;402;451;ARRIVEbent-B-LB-LN
ASL_2006_01_2022;553;598;BIGL-XL-XN
ASL_2006_01_2022;692;731;BORNB-xdB-xdN
ASL_2006_01_2022;1177;1218;BUT11N
ASL_2006_01_2022;839;912;CARSSN
ASL_2006_01_2022;1045;1078;DECIDEF/9F/9N
ASL_2006_01_2022;1322;1359;FINISH55N
ASL_2006_01_2022;2283;2325;GO-OUT5flat-ON
ASL_2006_01_2022;1454;1522;HEREB-LB-LN
ASL_2006_01_2022;1871;1905;HOW-MANY/MANYS5N
ASL_2006_01_2022;1604;1643;KNOWbent-Bbent-BN
ASL_2006_01_2022;1737;1781;MAN55N
ASL_2006_01_2022;2008;2063;MAYBEB-LB-LN
ASL_2006_01_2022;2148;2186;NOWYYN
ASL_2006_01_2022;2428;2449;PASTB-Lbent-B-LN
ASL_2006_01_2022;2566;2613;RAIN55N
ASL_2006_01_2022;2870;2912;TAKE-OFFB-LB-LN
ASL_2006_01_2022;3010;3051;TELL:i11N
ASL_2006_01_2022;3284;3318;WHAT55N
ASL_2006_01_2022;3141;3185;WITHAAN
ASL_2006_01_2022;3582;3633;YESTERDAY1010N
ASL_2006_09_2661;1426;1455;(1h)GOOD/THANK-YOUB-LB-LN
ASL_2006_09_2661;530;587;BICYCLESSN
ASL_2006_09_2661;650;673;BLACK11N
ASL_2006_09_2661;757;786;BOYtight-Cflat-ON
ASL_2006_09_2661;871;898;BUTTERU-LU-LN
ASL_2006_09_2661;988;1025;COLDSSN
ASL_2006_09_2661;1097;1127;DAY11Y
ASL_2006_09_2661;1213;1244;FARM55N
ASL_2006_09_2661;1322;1353;FUNNYU-LU-LN
ASL_2006_09_2661;1533;1555;HOT5-C-L5-C-LN
ASL_2006_09_2661;1646;1669;INFORMflat-O5N
ASL_2006_09_2661;1750;1779;INTERPRETF/9F/9N
ASL_2006_09_2661;1856;1895;LIBRARYLLN
ASL_2006_09_2661;1971;1993;LIEB-xdB-xdN
ASL_2006_09_2661;2083;2107;LIKEopen-88N
ASL_2006_09_2661;2184;2215;MAGAZINE1010N
ASL_2006_09_2661;2296;2323;NAMEU/HU/HN
ASL_2006_09_2661;2418;2449;NIGHTbent-B-Lbent-B-LY
ASL_2006_09_2661;2529;2558;SHOESSN
ASL_2006_09_2661;2650;2683;SITcrvd-Ucrvd-UN
ASL_2006_09_2661;2759;2807;SORRYAAN
ASL_2006_09_2661;2893;2904;STRANGECtight-CN
ASL_2006_09_2661;3004;3032;WANT5crvd-5N
ASL_2006_09_2661;3109;3144;WORKSSN
ASL_2006_10_1010;2646;2688;FIRE/BURNA5N
ASL_2006_10_1011;2476;2500;#FFF/9F/9N
ASL_2006_10_1011;1200;1219;EATflat-Oflat-ON
ASL_2006_10_1011;383;393;FLAT-TIREcrvd-sprd-Bflat-ON
ASL_2006_10_1011;517;536;FLOWERflat-Oflat-ON
ASL_2006_10_1011;819;850;FLY-BY-PLANEI-L-YI-L-YN
ASL_2006_10_1011;645;676;FOLLOW1010N
ASL_2006_10_1011;957;985;FOOTBALL44N
ASL_2006_10_1011;1450;1458;FOR11N
ASL_2006_10_1011;1823;1832;FORGETB-L10N
ASL_2006_10_1011;2078;2087;FOUR44N
ASL_2006_10_1011;1085;1104;FREEF/9F/9N
ASL_2006_10_1011;1308;1325;FREEZE55-CN
ASL_2006_10_1011;2756;2797;FRIDAYF/9F/9N
ASL_2006_10_1011;1694;1721;FRIEND1XN
ASL_2006_10_1011;1948;1980;FRIENDLY55N
ASL_2006_10_1011;2215;2240;GAME1010N
ASL_2006_10_1011;2348;2360;GAS/GAS-UP1010N
ASL_2006_10_1011;2615;2665;GIRL+FRIEND10XN
ASL_2006_10_1011;2884;2904;GIVE-UPbent-B-LB-LN
ASL_2006_10_1011;1563;1602;PATRONIZE/FREQUENTBBN
ASL_2006_10_1012;2613;2636;1p-HELP:iB-LB-LN
ASL_2006_10_1012;443;470;GIRL1010N
ASL_2006_10_1012;714;726;GIVEflat-Oflat-ON
ASL_2006_10_1012;578;602;GOOD+ENOUGHB-LB-LN
ASL_2006_10_1012;856;913;GOSSIPLflat-GN
ASL_2006_10_1012;1147;1173;GOVERNMENT11N
ASL_2006_10_1012;1004;1042;GRADUATEG/QG/QN
ASL_2006_10_1012;1433;1460;GRANDFATHER55N
ASL_2006_10_1012;1842;1866;GRANDMOTHER55N
ASL_2006_10_1012;2104;2134;GRASS5-C-L5-C-LN
ASL_2006_10_1012;2493;2514;GREENG/QG/QN
ASL_2006_10_1012;1275;1306;HAMBURGERCCN
ASL_2006_10_1012;2732;2766;HAMMERX-over-thumbX-over-thumbN
ASL_2006_10_1012;1566;1580;HAPPEN11N
ASL_2006_10_1012;1705;1722;HARDcrvd-Vcrvd-VN
ASL_2006_10_1012;1964;1973;HAVEB-Lbent-B-LN
ASL_2006_10_1012;2223;2277;HEART+ATTACK25SN
ASL_2006_10_1012;2366;2381;HEAVY55N
ASL_2006_10_1012;296;310;PROCEEDbent-B-Lbent-B-LN
ASL_2006_10_1012;2866;2912;SECRET+HIDEAAN
ASL_2006_10_1014;2297;2345;BOY_3+MARRYLcrvd-BN
ASL_2006_10_1014;2843;2867;EMPHASIZE1010N
ASL_2006_10_1014;386;422;HAPPYB-LB-LN
ASL_2006_10_1014;645;670;HARD-OF-HEARINGU/HU/HN
ASL_2006_10_1014;1070;1090;HEADbent-B-Lbent-B-LN
ASL_2006_10_1014;1336;1368;HEARING11N
ASL_2006_10_1014;1751;1774;HEARING-AIDXXN
ASL_2006_10_1014;2040;2050;HELLOBBN
ASL_2006_10_1014;2430;2458;HIGHU/HU/HN
ASL_2006_10_1014;2724;2754;HISTORYU/HU/HN
