Consultant;Main_New_Gloss;D_Start_HS;N-D_Start_HS;D_End_HS;N-D_End_HS;Passive_Arm;Start;End;Session_Scene
Liz;TWENTY;crvd-L;;flat-G;;N;2635;2661;ASL_2008_01_112
Tyler;TWENTY;L;;flat-G;;N;2400;2480;ASL_2008_05_12a1
Naomi;TWENTY;L;;baby-O;;N;2279;2353;ASL_2008_08_041
Brady;TWENTY;L;;flat-G;;N;5170;5198;ASL_2011_06_08_Brady5
Liz;ALONE;1;;1;;N;3707;3782;ASL_2008_02_0135
Liz;ALONE;1;;1;;N;2890;2936;ASL_2008_02_2932
Tyler;ALONE;1;;1;;N;3801;3830;ASL_2008_05_29b9
Naomi;ALONE;1;;1;;N;4065;4141;ASL_2008_08_1329
Brady;ALONE;1;;1;;N;1430;1498;ASL_2011_06_14_Brady42
Brady;ALONE;1;;1;;N;3186;3211;ASL_2011_07_19_Brady83
Lana;ALONE;1;;1;;N;2076;2120;ASL_2006_10_102
Dana;ALONE;1;;1;;N;2431;2476;ASL_2007_05_245
Liz;LONELY;1;;1;;N;751;805;ASL_2008_02_0152
Tyler;LONELY;1;;1;;N;845;902;ASL_2008_06_104
Naomi;LONELY;1;;1;;N;540;575;ASL_2008_08_13_session27
Brady;LONELY;1;;1;;N;80;119;ASL_2011_06_14_Brady51
Liz;BACHELOR;1;;1;;N;2629;2675;ASL_2008_02_2932
Brady;BACHELOR;D;;D;;N;2957;2992;ASL_2011_07_19_Brady83
Liz;BACHELOR;1;;1;;N;3431;3525;ASL_2008_02_2932
Liz;BACHELOR;B;;B;;N;315;350;ASL_2008_01_1128
Tyler;BACHELOR;B;;B;;N;1000;1025;ASL_2008_05_12a18
Naomi;BACHELOR;B;;B;;N;1080;1105;ASL_2008_08_0418
Brady;BACHELOR;B;;B;;N;233;263;ASL_2011_06_08_Brady15
Liz;SOMETHING/ONE;1;;1;;N;1230;1272;ASL_2008_02_2938
Liz;ALWAYS;1;;1;;N;315;370;ASL_2008_01_1113
Tyler;ALWAYS;1;;1;;N;1810;1850;ASL_2008_05_12a10
Naomi;ALWAYS;1;;1;;N;1571;1635;ASL_2008_08_049
Brady;ALWAYS;1;;1;;N;2592;2620;ASL_2011_06_08_Brady11
Liz;WAIT-A-MINUTE;1;;1;;N;375;412;ASL_2008_03_2834
Brady;WAIT-A-MINUTE;1;;1;;N;1647;1697;ASL_2011_07_22_Brady22
Liz;ONE;1;;1;;N;2145;2185;ASL_2008_01_114
Tyler;ONE;1;;1;;N;1325;1380;ASL_2008_05_12a3
Brady;ONE;1;;1;;N;4203;4214;ASL_2011_06_08_Brady4
Lana;ONE;1;;1;;N;1338;1366;ASL_2006_10_1020
Dana;ONE;1;;1;;N;1269;1277;ASL_2007_05_2422
Naomi;ONE;D;;D;;N;1626;1650;ASL_2008_08_043
Liz;A;A;;A;;N;2345;2370;ASL_2008_01_114
Tyler;A;A;;A;;N;1550;1600;ASL_2008_05_12a3
Naomi;A;A;;A;;N;1830;1850;ASL_2008_08_043
Brady;A;A;;A;;N;7024;7048;ASL_2011_06_08_Brady6
Liz;LITTLE-BIT;X-over-thumb;;10;;N;3030;3056;ASL_2008_01_114
Tyler;LITTLE-BIT;X-over-thumb;;A;;N;1790;1850;ASL_2008_05_12a3
Naomi;LITTLE-BIT;X-over-thumb;;10;;N;2040;2066;ASL_2008_08_043
Brady;LITTLE-BIT;X-over-thumb;;10;;N;7322;7339;ASL_2011_06_08_Brady6
Liz;ABANDON;S;S;5;5;N;180;206;ASL_2008_01_115
Tyler;ABANDON;S;S;5;5;N;2227;2249;ASL_2008_05_12a3
Brady;ABANDON;S;S;5;5;N;7839;7854;ASL_2011_06_08_Brady6
Naomi;THROW-AWAY;cocked-S;cocked-S;1;1;N;2768;2786;ASL_2008_08_043
Liz;ABORTION;crvd-5;B-L;5;B-L;N;450;480;ASL_2008_01_115
Naomi;ABORTION;5-C-L;5;5;5;N;548;575;ASL_2008_08_044
Liz;ABORTION;5;;5;;N;1098;1163;ASL_2010_08_10_Liz_additional_lexicon_signs5
Tyler;ABORTION;S;B-L;crvd-5;B-L;N;375;400;ASL_2008_05_12a4
Liz;ABOVE;bent-B-L;bent-B-L;bent-B-L;bent-B-L;N;1296;1325;ASL_2008_01_115
Naomi;ABOVE;bent-B-L;bent-B-L;bent-B-L;bent-B-L;N;2288;2317;ASL_2008_08_044
Tyler;ABOVE;bent-B-L;bent-B-L;bent-B-L;bent-B-L;N;772;810;ASL_2008_05_12a4
Tyler;ABOVE;bent-B-L;bent-B-L;bent-B-L;bent-B-L;N;969;1006;ASL_2008_05_12a4
Liz;EXCEED;bent-B-L;bent-B-L;bent-B-L;bent-B-L;N;1000;1031;ASL_2008_01_115
Liz;EXCEED;bent-B-L;bent-B-L;bent-B-L;bent-B-L;N;1580;1615;ASL_2008_01_1835
Naomi;EXCEED;bent-B;bent-B;bent-B;bent-B;N;1402;1421;ASL_2008_08_0635
Brady;EXCEED;bent-B;bent-B;bent-B;bent-B;N;3085;3105;ASL_2011_06_14_Brady14
Liz;A-LEVEL-ABOVE;bent-B-L;bent-B-L;bent-B-L;bent-B-L;N;420;450;ASL_2008_02_1550
Brady;A-LEVEL-ABOVE;bent-B-L;bent-B-L;bent-B-L;bent-B-L;N;3575;3594;ASL_2011_07_19_Brady44
Liz;ADULT-TALL;bent-B-L;;bent-B-L;;N;2781;2801;ASL_2008_03_284
Liz;ADULT-TALL;bent-B-L;;bent-B-L;;N;785;830;ASL_2010_08_10_Liz_additional_lexicon_signs1
Brady;ADULT-TALL;bent-B-L;;bent-B-L;;N;517;535;ASL_2011_07_19_Brady109
Liz;ADULT-TALL;bent-B-L;bent-B-L;bent-B-L;bent-B-L;N;980;1011;ASL_2010_08_10_Liz_additional_lexicon_signs1
Liz;ADULT-TALL;bent-B-L;;bent-B-L;;N;1850;1915;ASL_2008_02_014
Tyler;ADULT-TALL;bent-B-L;;bent-B-L;;N;1260;1305;ASL_2008_05_29a36
Naomi;ADULT-TALL;bent-B-L;;bent-B-L;;N;2690;2720;ASL_2008_08_134
Brady;ADULT-TALL;bent-B-L;;bent-B-L;;N;5150;5178;ASL_2011_06_14_Brady25
Liz;CHILD;B-L;;B-L;;N;1011;1051;ASL_2008_01_1174
Naomi;CHILD;B-L;;B-L;;N;800;830;ASL_2008_08_0447
Brady;CHILD;B-L;;B-L;;N;6903;6925;ASL_2011_06_08_Brady27
Tyler;CHILD;B-L;B-L;B-L;B-L;N;651;682;ASL_2008_05_12a45
Tyler;CHILD;B-L;B-L;B-L;B-L;N;910;941;ASL_2008_05_12a45
Naomi;CHILD;B-L;B-L;B-L;B-L;N;1035;1060;ASL_2008_08_0447
Liz;CHILD;B-L;;B-L;;N;1255;1290;ASL_2008_01_1174
Brady;CHILD;B-L;;B-L;;N;7121;7150;ASL_2011_06_08_Brady27
