sid;start_time;end_time;value
Conference Room;1046779260;1047559380;Conference RoomJ10ON
Conference Room;1047559380;1048766520;Conference RoomJ10OFF
Conference Room;1048766520;1048773300;Conference RoomJ10ON
Conference Room;1048773300;1048887000;Conference RoomJ10OFF
Conference Room;1048887000;1049317740;Conference RoomJ10ON
Conference Room;1049317740;1049367840;Conference RoomJ10OFF
Conference Room;1049367840;1049557140;Conference RoomJ10ON
Conference Room;1049557140;1049619060;Conference RoomJ10OFF
Conference Room;1049619060;1049747640;Conference RoomJ10ON
Conference Room;1049747640;1049799600;Conference RoomJ10OFF
Conference Room;1049799600;1049805000;Conference RoomJ10ON
Conference Room;1049805000;1049805360;Conference RoomJ10OFF
Conference Room;1049805360;1049805540;Conference RoomJ10ON
Conference Room;1049805540;1050049320;Conference RoomJ10OFF
Conference Room;1050049320;1050049380;Conference RoomJ10ON
Conference Room;1050049380;1050065760;Conference RoomJ10OFF
Conference Room;1050065760;1050090420;Conference RoomJ10ON
Conference Room;1050090420;1050090540;Conference RoomJ10OFF
Conference Room;1050090540;1050353100;Conference RoomJ10ON
Conference Room;1050353100;1050404580;Conference RoomJ10OFF
Conference Room;1050404580;1050525180;Conference RoomJ10ON
Conference Room;1050525180;1051217040;Conference RoomJ10OFF
Conference Room;1051217040;1051261200;Conference RoomJ10ON
Conference Room;1051261200;1051272840;Conference RoomJ10OFF
Conference Room;1051272840;1051360200;Conference RoomJ10ON
Conference Room;1046779320;1047559380;Conference RoomJ11ON
Conference Room;1047559380;1048766520;Conference RoomJ11OFF
Conference Room;1048766520;1049805360;Conference RoomJ11ON
Conference Room;1049805360;1049805540;Conference RoomJ11OFF
Conference Room;1049805540;1049805600;Conference RoomJ11ON
Conference Room;1049805600;1049834160;Conference RoomJ11OFF
Conference Room;1049834160;1049920140;Conference RoomJ11ON
Conference Room;1049920140;1050049320;Conference RoomJ11OFF
Conference Room;1050049320;1051261200;Conference RoomJ11ON
Conference Room;1051261200;1051339920;Conference RoomJ11OFF
Conference Room;1051339920;1051347780;Conference RoomJ11ON
Conference Room;1051347780;1051360200;Conference RoomJ11OFF
Conference Room;1051360200;1051360200;Conference RoomJ11ON
Conference Room;1046646300;1046779320;Conference RoomJ12ON
Conference Room;1046779320;1047474120;Conference RoomJ12OFF
Conference Room;1047474120;1048766520;Conference RoomJ12ON
Conference Room;1048766520;1048880940;Conference RoomJ12OFF
Conference Room;1048880940;1049805360;Conference RoomJ12ON
Conference Room;1049805360;1049805540;Conference RoomJ12OFF
Conference Room;1049805540;1049833860;Conference RoomJ12ON
Conference Room;1049833860;1049920140;Conference RoomJ12OFF
Conference Room;1049920140;1049972640;Conference RoomJ12ON
Conference Room;1049972640;1050049320;Conference RoomJ12OFF
Conference Room;1050049320;1051182060;Conference RoomJ12ON
Conference Room;1051182060;1051217040;Conference RoomJ12OFF
Conference Room;1051217040;1051339860;Conference RoomJ12ON
Conference Room;1051339860;1051347720;Conference RoomJ12OFF
Conference Room;1051347720;1051347780;Conference RoomJ12ON
Conference Room;1046943660;1046943780;Conference RoomJ15ON
Conference Room;1046943780;1047474120;Conference RoomJ15OFF
Conference Room;1047474120;1048919880;Conference RoomJ15ON
Conference Room;1048919880;1051255080;Conference RoomJ15OFF
Conference Room;1051255080;1051260180;Conference RoomJ15ON
Conference Room;1051260180;1051345320;Conference RoomJ15OFF
Conference Room;1051345320;1051345320;Conference RoomJ15ON
Conference Room;1046765700;1050049680;Conference RoomJ16ON
Conference Room;1050049680;1050053700;Conference RoomJ16OFF
Conference Room;1050053700;1050057480;Conference RoomJ16ON
Conference Room;1050057480;1051254720;Conference RoomJ16OFF
Conference Room;1051254720;1051260180;Conference RoomJ16ON
Conference Room;1051260180;1051345200;Conference RoomJ16OFF
Conference Room;1051345200;1051345320;Conference RoomJ16ON
Conference Room;1051345320;1051347780;Conference RoomJ16OFF
Conference Room;1051347780;1051347780;Conference RoomJ16ON
Dining Room;1046714760;1046727660;Dining RoomI11ON
Dining Room;1046727660;1046728860;Dining RoomI11OFF
Dining Room;1046728860;1046765700;Dining RoomI11ON
Dining Room;1046765700;1046779260;Dining RoomI11OFF
Dining Room;1046779260;1046785020;Dining RoomI11ON
Dining Room;1046785020;1046811300;Dining RoomI11OFF
Dining Room;1046811300;1046811480;Dining RoomI11ON
Dining Room;1046811480;1046811660;Dining RoomI11OFF
Dining Room;1046811660;1046811900;Dining RoomI11ON
Dining Room;1046811900;1046813520;Dining RoomI11OFF
Dining Room;1046813520;1046813820;Dining RoomI11ON
Dining Room;1046813820;1046898660;Dining RoomI11OFF
Dining Room;1046898660;1046899080;Dining RoomI11ON
Dining Room;1046899080;1046943720;Dining RoomI11OFF
Dining Room;1046943720;1046943780;Dining RoomI11ON
Dining Room;1046943780;1046952060;Dining RoomI11OFF
Dining Room;1046952060;1046955660;Dining RoomI11ON
Dining Room;1046955660;1046984460;Dining RoomI11OFF
Dining Room;1046984460;1046986200;Dining RoomI11ON
Dining Room;1046986200;1046986860;Dining RoomI11OFF
Dining Room;1046986860;1046986980;Dining RoomI11ON
Dining Room;1046986980;1046991060;Dining RoomI11OFF
Dining Room;1046991060;1047494700;Dining RoomI11ON
Dining Room;1047494700;1047503760;Dining RoomI11OFF
Dining Room;1047503760;1047504120;Dining RoomI11ON
Dining Room;1047504120;1047504840;Dining RoomI11OFF
Dining Room;1047504840;1047505020;Dining RoomI11ON
Dining Room;1047505020;1047513960;Dining RoomI11OFF
Dining Room;1047513960;1047559380;Dining RoomI11ON
Dining Room;1047559380;1047583500;Dining RoomI11OFF
Dining Room;1047583500;1047583920;Dining RoomI11ON
Dining Room;1047583920;1048184460;Dining RoomI11OFF
Dining Room;1048184460;1048185420;Dining RoomI11ON
Dining Room;1048185420;1048541760;Dining RoomI11OFF
Dining Room;1048541760;1048542180;Dining RoomI11ON
Dining Room;1048542180;1048542660;Dining RoomI11OFF
Dining Room;1048542660;1048543080;Dining RoomI11ON
Dining Room;1048543080;1048627980;Dining RoomI11OFF
Dining Room;1048627980;1048628340;Dining RoomI11ON
Dining Room;1048628340;1048713840;Dining RoomI11OFF
Dining Room;1048713840;1048714200;Dining RoomI11ON
Dining Room;1048714200;1048766460;Dining RoomI11OFF
Dining Room;1048766460;1048768440;Dining RoomI11ON
Dining Room;1048768440;1048788840;Dining RoomI11OFF
Dining Room;1048788840;1048801380;Dining RoomI11ON
Dining Room;1048801380;1048801500;Dining RoomI11OFF
