sid;start_time;end_time;value
(Studio E);3/1/2003 10:10;3/1/2003 10:10;E16
(Studio E);3/1/2003 10:10;3/2/2003 1:18;E9
(Studio F);3/12/2003 1:38;3/12/2003 1:38;F14
(Studio F);3/12/2003 1:39;3/12/2003 1:39;F11
(Studio F);3/12/2003 1:39;3/12/2003 1:39;F12
(Studio F);3/12/2003 1:39;3/12/2003 1:39;F13
(Studio F);3/12/2003 1:39;3/12/2003 1:39;F16
(Studio C);3/12/2003 1:44;3/12/2003 1:47;C9
(Studio C);3/12/2003 1:47;3/12/2003 1:47;C9
(Studio C);3/12/2003 1:48;4/10/2003 10:32;C14
(Studio C);3/12/2003 1:48;3/12/2003 1:48;C9
(Studio C);3/12/2003 1:49;3/12/2003 1:49;C9
(Conference Room);3/12/2003 2:02;3/12/2003 2:02;J11
(Conference Room);3/12/2003 2:02;3/12/2003 2:02;J12
(Conference Room);3/12/2003 2:02;3/29/2003 7:38;J15
(Conference Room);3/12/2003 2:02;3/12/2003 2:02;J16
(Studio F);3/12/2003 2:20;3/12/2003 2:20;F12
(Studio F);3/12/2003 2:20;3/12/2003 2:21;F14
(Studio F);3/12/2003 2:20;3/12/2003 2:21;F16
(Studio E);3/12/2003 2:24;3/12/2003 2:24;E12
(Studio F);3/12/2003 2:24;3/12/2003 2:34;F12
(Conference Room);3/12/2003 2:34;3/13/2003 1:43;J11
(Dining Room);3/12/2003 7:23;3/12/2003 7:26;I14
(Studio D);3/12/2003 7:23;3/12/2003 7:45;D9
(Studio E);3/12/2003 7:23;3/12/2003 7:45;E9
(Dining Room);3/12/2003 7:26;3/12/2003 7:45;I11
(Dining Room);3/12/2003 10:01;3/12/2003 10:06;I14
(Studio D);3/12/2003 10:01;3/13/2003 11:14;D11
(Studio E);3/12/2003 10:01;3/12/2003 10:49;E9
( );3/12/2003 10:05;3/12/2003 10:49;O7
(Studio C);3/12/2003 10:05;3/12/2003 10:48;C9
(Studio A);3/12/2003 10:06;3/12/2003 10:48;A14
(Studio B);3/12/2003 10:06;3/21/2003 4:46;B9
(Dining Room);3/12/2003 10:16;3/12/2003 10:22;I11
(Dining Room);3/12/2003 10:16;3/12/2003 10:21;I14
(Dining Room);3/12/2003 10:16;3/12/2003 10:22;I16
(Dining Room);3/12/2003 10:32;3/13/2003 1:44;I16
(Dining Room);3/12/2003 10:34;3/12/2003 10:37;I11
(Dining Room);3/12/2003 10:34;3/13/2003 1:44;I14
(Dining Room);3/13/2003 1:06;3/13/2003 1:43;I11
(Living Room);3/13/2003 1:06;3/13/2003 1:20;H9
(Studio A);3/13/2003 1:21;3/15/2003 1:37;A11
(Studio A);3/13/2003 1:21;3/15/2003 1:37;A15
( );3/13/2003 12:30;3/13/2003 12:31;P1
( );3/13/2003 12:31;3/13/2003 12:31;P1
( );3/13/2003 1:05;3/13/2003 1:45;P15
(Conference Room);3/13/2003 1:05;3/13/2003 1:43;J10
(Conference Room);3/13/2003 1:05;3/13/2003 1:05;J12
(Living Room);3/13/2003 1:05;3/13/2003 1:44;H12
(Living Room);3/13/2003 1:05;3/13/2003 1:43;H13
(Studio D);3/13/2003 8:20;3/13/2003 8:32;D9
(Studio E);3/13/2003 8:20;3/13/2003 8:32;E9
(Dining Room);3/13/2003 8:25;3/13/2003 8:32;I11
(Studio D);3/13/2003 10:31;3/13/2003 11:14;D9
(Studio E);3/13/2003 10:31;3/13/2003 11:15;E9
(Studio A);3/14/2003 5:29;3/14/2003 5:29;A14
(Studio A);3/14/2003 10:16;3/14/2003 10:53;A14
(Studio C);3/17/2003 1:11;3/17/2003 3:22;C15
(Living Room);3/17/2003 9:18;3/24/2003 3:56;H11
(Studio B);3/17/2003 9:19;3/21/2003 4:46;B9
(Studio C);3/17/2003 9:19;3/21/2003 4:46;C8
(Studio C);3/17/2003 9:19;3/21/2003 4:46;C9
(Studio E);3/17/2003 9:19;3/21/2003 4:46;E9
(Living Room);3/17/2003 9:20;3/21/2003 8:01;H9
(Studio A);3/17/2003 9:30;3/17/2003 9:31;A11
(Studio C);3/17/2003 9:31;3/17/2003 9:31;C12
(Living Room);3/2/2003 12:35;3/2/2003 12:35;H11
(Studio E);3/2/2003 12:42;3/2/2003 12:42;E9
(Studio E);3/2/2003 12:43;3/2/2003 12:43;E9
(Studio E);3/2/2003 1:18;3/2/2003 1:18;E9
(Superdoc Office);3/2/2003 1:26;3/2/2003 1:26;G11
(Superdoc Office);3/2/2003 1:44;3/2/2003 1:48;G11
(Superdoc Office);3/2/2003 1:47;3/2/2003 1:48;G11
(Superdoc Office);3/2/2003 1:50;3/2/2003 1:50;G11
